"r","y","idx"
2,1,300
2,2,300
2,2,300
2,5,300
2,2,300
2,5,300
2,9,300
2,7,300
2,7,300
2,3,300
2,6,300
2,7,300
2,9,300
2,7,300
2,9,300
2,7,300
2,7,300
2,6,300
2,7,300
2,13,300
2,12,300
2,16,300
2,12,300
2,15,300
2,17,300
2,15,300
2,19,300
2,16,300
2,15,300
2,25,300
2,17,300
2,11,300
2,16,300
2,21,300
2,18,300
2,20,300
2,19,300
2,23,300
2,30,300
2,35,300
2,37,300
2,31,300
2,40,300
2,36,300
2,43,300
2,48,300
2,45,300
2,47,300
2,43,300
2,52,300
2,53,300
2,63,300
2,62,300
2,71,300
2,58,300
2,86,300
2,64,300
2,83,300
2,77,300
2,91,300
2,76,300
2,85,300
2,103,300
2,116,300
2,101,300
2,132,300
2,105,300
2,136,300
2,135,300
2,141,300
2,145,300
2,159,300
2,133,300
2,175,300
2,180,300
2,177,300
2,208,300
2,191,300
2,206,300
2,206,300
2,239,300
2,215,300
2,229,300
2,268,300
2,297,300
2,280,300
2,323,300
2,314,300
2,327,300
2,347,300
2,374,300
2,375,300
2,387,300
2,426,300
2,459,300
2,518,300
2,464,300
2,500,300
2,541,300
2,546,300
0.5,150,300
0.5,173,300
0.5,165,300
0.5,193,300
0.5,173,300
0.5,185,300
0.5,187,300
0.5,158,300
0.5,144,300
0.5,160,300
0.5,166,300
0.5,132,300
0.5,165,300
0.5,137,300
0.5,138,300
0.5,119,300
0.5,120,300
0.5,117,300
0.5,135,300
0.5,114,300
0.5,107,300
0.5,116,300
0.5,106,300
0.5,88,300
0.5,81,300
0.5,106,300
0.5,88,300
0.5,83,300
0.5,74,300
0.5,62,300
0.5,73,300
0.5,72,300
0.5,59,300
0.5,68,300
0.5,62,300
0.5,65,300
0.5,47,300
0.5,72,300
0.5,61,300
0.5,61,300
0.5,44,300
0.5,45,300
0.5,42,300
0.5,48,300
0.5,37,300
0.5,46,300
0.5,33,300
0.5,34,300
0.5,36,300
0.5,33,300
0.5,27,300
0.5,29,300
0.5,43,300
0.5,24,300
0.5,24,300
0.5,33,300
0.5,22,300
0.5,29,300
0.5,29,300
0.5,14,300
0.5,22,300
0.5,15,300
0.5,32,300
0.5,19,300
0.5,19,300
0.5,13,300
0.5,24,300
0.5,17,300
0.5,13,300
0.5,19,300
0.5,18,300
0.5,20,300
0.5,17,300
0.5,12,300
0.5,8,300
0.5,11,300
0.5,3,300
0.5,13,300
0.5,12,300
0.5,11,300
0.5,15,300
0.5,11,300
0.5,16,300
0.5,7,300
0.5,6,300
0.5,6,300
0.5,7,300
0.5,5,300
0.5,10,300
0.5,9,300
0.5,2,300
0.5,8,300
0.5,5,300
0.5,6,300
0.5,3,300
0.5,6,300
0.5,6,300
0.5,6,300
0.5,3,300
0.5,4,300
0.5,1,300
0.5,4,300
0.5,8,300
0.5,3,300
0.5,5,300
0.5,6,300
0.5,2,300
0.5,3,300
0.5,3,300
0.5,2,300
0.5,3,300
0.5,4,300
0.5,1,300
0.5,4,300
0.5,3,300
0.5,3,300
0.5,2,300
0.5,5,300
0.5,1,300
0.5,3,300
0.5,1,300
0.5,0,300
0.5,1,300
0.5,1,300
0.5,1,300
0.5,0,300
0.5,3,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,2,300
0.5,2,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,2,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
