"r","y","idx"
4,1,300
4,4,300
4,4,300
4,7,300
4,10,300
4,6,300
4,18,300
4,21,300
4,24,300
4,27,300
4,25,300
4,29,300
4,42,300
4,52,300
4,50,300
4,61,300
4,67,300
4,72,300
4,102,300
4,104,300
4,118,300
4,137,300
4,135,300
4,167,300
4,175,300
4,230,300
4,237,300
4,245,300
4,289,300
4,338,300
4,375,300
4,439,300
4,458,300
4,519,300
4,595,300
4,639,300
4,719,300
4,801,300
4,1009,300
4,1010,300
0.6,180,300
0.6,206,300
0.6,204,300
0.6,220,300
0.6,223,300
0.6,232,300
0.6,235,300
0.6,222,300
0.6,248,300
0.6,253,300
0.6,220,300
0.6,233,300
0.6,219,300
0.6,197,300
0.6,236,300
0.6,229,300
0.6,212,300
0.6,209,300
0.6,182,300
0.6,172,300
0.6,177,300
0.6,194,300
0.6,163,300
0.6,149,300
0.6,161,300
0.6,174,300
0.6,155,300
0.6,152,300
0.6,130,300
0.6,131,300
0.6,134,300
0.6,129,300
0.6,120,300
0.6,121,300
0.6,130,300
0.6,99,300
0.6,103,300
0.6,133,300
0.6,111,300
0.6,100,300
2,311,300
2,323,300
2,314,300
2,315,300
2,361,300
2,321,300
2,324,300
2,357,300
2,382,300
2,401,300
2,375,300
2,425,300
2,417,300
2,488,300
2,495,300
2,514,300
2,549,300
2,597,300
2,600,300
2,606,300
2,689,300
2,700,300
2,784,300
2,762,300
2,816,300
2,840,300
2,898,300
2,924,300
2,1053,300
2,1066,300
2,1160,300
2,1151,300
2,1256,300
2,1244,300
2,1330,300
2,1428,300
2,1409,300
2,1598,300
2,1584,300
2,1685,300
2,1882,300
2,1853,300
2,1970,300
2,2096,300
2,2168,300
2,2304,300
2,2498,300
2,2559,300
2,2619,300
2,2842,300
2,2872,300
2,3067,300
2,3265,300
2,3407,300
2,3545,300
2,3729,300
2,3920,300
2,4133,300
2,4407,300
2,4596,300
2,4794,300
2,5033,300
2,5354,300
2,5491,300
2,5852,300
2,6114,300
2,6311,300
2,6676,300
2,7199,300
2,7548,300
0.2,772,300
0.2,822,300
0.2,847,300
0.2,884,300
0.2,913,300
0.2,870,300
0.2,859,300
0.2,791,300
0.2,808,300
0.2,800,300
0.2,770,300
0.2,710,300
0.2,707,300
0.2,625,300
0.2,584,300
0.2,539,300
0.2,502,300
0.2,523,300
0.2,459,300
0.2,374,300
0.2,415,300
0.2,379,300
0.2,349,300
0.2,317,300
0.2,281,300
0.2,251,300
0.2,250,300
0.2,213,300
0.2,195,300
0.2,196,300
0.2,187,300
0.2,174,300
0.2,136,300
0.2,145,300
0.2,155,300
0.2,111,300
0.2,103,300
0.2,105,300
0.2,99,300
0.2,104,300
0.2,77,300
0.2,77,300
0.2,67,300
0.2,81,300
0.2,45,300
0.2,51,300
0.2,43,300
0.2,49,300
0.2,51,300
0.2,35,300
0.2,45,300
0.2,36,300
0.2,39,300
0.2,32,300
0.2,26,300
0.2,24,300
0.2,20,300
0.2,20,300
0.2,13,300
0.2,20,300
0.2,20,300
0.2,13,300
0.2,9,300
0.2,17,300
0.2,14,300
0.2,4,300
0.2,12,300
0.2,12,300
0.2,13,300
0.2,9,300
0.2,9,300
0.2,7,300
0.2,3,300
0.2,7,300
0.2,7,300
0.2,5,300
0.2,8,300
0.2,3,300
0.2,5,300
0.2,6,300
0.2,3,300
0.2,2,300
0.2,5,300
0.2,4,300
0.2,2,300
0.2,1,300
0.2,0,300
0.2,2,300
0.2,0,300
0.2,1,300
0.2,0,300
0.2,4,300
0.2,1,300
0.2,3,300
0.2,1,300
0.2,4,300
0.2,1,300
0.2,1,300
0.2,1,300
0.2,0,300
0.2,1,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,1,300
0.2,0,300
0.2,1,300
0.2,1,300
0.2,1,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,1,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,1,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,1,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
0.2,0,300
