"r","y","idx"
2,1,300
2,2,300
2,4,300
2,4,300
2,2,300
2,2,300
2,5,300
2,5,300
2,7,300
2,7,300
2,4,300
2,10,300
2,9,300
2,12,300
2,10,300
2,8,300
2,14,300
2,11,300
2,16,300
2,15,300
2,16,300
2,23,300
2,9,300
2,13,300
2,12,300
2,12,300
2,24,300
2,25,300
2,29,300
2,30,300
2,21,300
2,23,300
2,16,300
2,32,300
2,26,300
2,30,300
2,32,300
2,36,300
2,48,300
2,36,300
2,28,300
2,39,300
2,48,300
2,52,300
2,52,300
2,57,300
2,63,300
2,54,300
2,58,300
2,72,300
2,56,300
2,74,300
2,86,300
2,80,300
2,108,300
2,82,300
2,97,300
2,85,300
2,99,300
2,90,300
2,89,300
2,129,300
2,160,300
2,152,300
2,140,300
2,142,300
2,134,300
2,137,300
2,152,300
2,164,300
2,186,300
2,245,300
2,208,300
2,239,300
2,191,300
2,202,300
2,209,300
2,207,300
2,261,300
2,326,300
2,348,300
2,397,300
2,347,300
2,303,300
2,291,300
2,306,300
2,388,300
2,459,300
2,490,300
2,557,300
2,570,300
2,537,300
2,464,300
2,428,300
2,549,300
2,564,300
2,687,300
2,862,300
2,842,300
2,831,300
0.5,191,300
0.5,180,300
0.5,165,300
0.5,202,300
0.5,223,300
0.5,247,300
0.5,244,300
0.5,254,300
0.5,241,300
0.5,189,300
0.5,189,300
0.5,173,300
0.5,152,300
0.5,182,300
0.5,236,300
0.5,228,300
0.5,185,300
0.5,190,300
0.5,140,300
0.5,125,300
0.5,112,300
0.5,129,300
0.5,134,300
0.5,172,300
0.5,165,300
0.5,150,300
0.5,104,300
0.5,106,300
0.5,87,300
0.5,81,300
0.5,91,300
0.5,100,300
0.5,129,300
0.5,87,300
0.5,88,300
0.5,84,300
0.5,73,300
0.5,53,300
0.5,65,300
0.5,64,300
0.5,82,300
0.5,72,300
0.5,74,300
0.5,77,300
0.5,56,300
0.5,46,300
0.5,40,300
0.5,48,300
0.5,47,300
0.5,56,300
0.5,60,300
0.5,44,300
0.5,58,300
0.5,42,300
0.5,39,300
0.5,34,300
0.5,31,300
0.5,37,300
0.5,50,300
0.5,44,300
0.5,33,300
0.5,23,300
0.5,21,300
0.5,18,300
0.5,19,300
0.5,23,300
0.5,25,300
0.5,23,300
0.5,33,300
0.5,20,300
0.5,25,300
0.5,12,300
0.5,11,300
0.5,17,300
0.5,24,300
0.5,21,300
0.5,23,300
0.5,25,300
0.5,20,300
0.5,10,300
0.5,17,300
0.5,14,300
0.5,9,300
0.5,10,300
0.5,17,300
0.5,16,300
0.5,12,300
0.5,6,300
0.5,14,300
0.5,9,300
0.5,7,300
0.5,15,300
0.5,13,300
0.5,12,300
0.5,5,300
0.5,6,300
0.5,6,300
0.5,16,300
0.5,7,300
0.5,5,300
0.5,5,300
0.5,5,300
0.5,12,300
0.5,6,300
0.5,10,300
0.5,5,300
0.5,6,300
0.5,5,300
0.5,3,300
0.5,5,300
0.5,4,300
0.5,8,300
0.5,11,300
0.5,4,300
0.5,3,300
0.5,5,300
0.5,5,300
0.5,4,300
0.5,5,300
0.5,9,300
0.5,3,300
0.5,4,300
0.5,5,300
0.5,4,300
0.5,5,300
0.5,1,300
0.5,0,300
0.5,4,300
0.5,0,300
0.5,4,300
0.5,10,300
0.5,5,300
0.5,1,300
0.5,4,300
0.5,1,300
0.5,2,300
0.5,3,300
0.5,2,300
0.5,2,300
0.5,6,300
0.5,2,300
0.5,2,300
0.5,2,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,3,300
0.5,4,300
0.5,2,300
0.5,3,300
0.5,0,300
0.5,1,300
0.5,2,300
0.5,2,300
0.5,0,300
0.5,2,300
0.5,3,300
0.5,6,300
0.5,3,300
0.5,1,300
0.5,0,300
0.5,2,300
0.5,0,300
0.5,2,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,1,300
0.5,1,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,2,300
0.5,0,300
0.5,3,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,2,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,2,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,1,300
0.5,0,300
0.5,2,300
0.5,0,300
