"date","y"
"2020-01-23",2
"2020-01-24",1
"2020-01-25",0
"2020-01-26",0
"2020-01-27",0
"2020-01-28",1
"2020-01-29",0
"2020-01-30",0
"2020-01-31",0
"2020-02-01",0
"2020-02-02",0
"2020-02-03",0
"2020-02-04",1
"2020-02-05",1
"2020-02-06",0
"2020-02-07",2
"2020-02-08",0
"2020-02-09",0
"2020-02-10",1
"2020-02-11",0
"2020-02-12",0
"2020-02-13",0
"2020-02-14",0
"2020-02-15",0
"2020-02-16",0
"2020-02-17",1
"2020-02-18",0
"2020-02-19",0
"2020-02-20",1
"2020-02-21",2
"2020-02-22",1
"2020-02-23",1
"2020-02-24",1
"2020-02-25",3
"2020-02-26",1
"2020-02-27",2
"2020-02-28",6
"2020-02-29",5
"2020-03-01",5
"2020-03-02",7
"2020-03-03",6
"2020-03-04",8
"2020-03-05",12
"2020-03-06",19
"2020-03-07",8
"2020-03-08",22
"2020-03-09",24
"2020-03-10",21
"2020-03-11",63
"2020-03-12",61
"2020-03-13",97
"2020-03-14",67
"2020-03-15",96
"2020-03-16",151
"2020-03-17",154
"2020-03-18",243
"2020-03-19",252
"2020-03-20",343
"2020-03-21",503
"2020-03-22",457
"2020-03-23",646
"2020-03-24",699
"2020-03-25",573
"2020-03-26",941
"2020-03-27",869
"2020-03-28",930
"2020-03-29",936
"2020-03-30",1232
"2020-03-31",1233
"2020-04-01",1312
"2020-04-02",1719
"2020-04-03",1332
"2020-04-04",1336
"2020-04-05",1189
"2020-04-06",1501
"2020-04-07",1388
"2020-04-08",1236
"2020-04-09",1380
"2020-04-10",1144
"2020-04-11",1376
"2020-04-12",1342
"2020-04-13",1797
"2020-04-14",1689
"2020-04-15",1747
"2020-04-16",1766
"2020-04-17",2126
"2020-04-18",1526
"2020-04-19",1700
"2020-04-20",1712
"2020-04-21",1590
"2020-04-22",1846
"2020-04-23",1809
"2020-04-24",1640
"2020-04-25",1582
"2020-04-26",1211
"2020-04-27",1656
"2020-04-28",1523
"2020-04-29",1689
"2020-04-30",1639
"2020-05-01",1811
"2020-05-02",1356
"2020-05-03",1259
"2020-05-04",1376
"2020-05-05",1395
"2020-05-06",1516
"2020-05-07",1271
"2020-05-08",1200
"2020-05-09",1146
"2020-05-10",1038
"2020-05-11",1024
"2020-05-12",1117
"2020-05-13",1227
"2020-05-14",1110
"2020-05-15",1271
"2020-05-16",1155
"2020-05-17",1208
"2020-05-18",1086
"2020-05-19",1002
"2020-05-20",1256
"2020-05-21",1115
"2020-05-22",1090
"2020-05-23",907
"2020-05-24",953
"2020-05-25",964
"2020-05-26",767
"2020-05-27",885
"2020-05-28",787
"2020-05-29",1069
"2020-05-30",762
"2020-05-31",730
"2020-06-01",796
"2020-06-02",627
"2020-06-03",682
"2020-06-04",582
"2020-06-05",527
"2020-06-06",524
"2020-06-07",412
"2020-06-08",451
"2020-06-09",434
"2020-06-10",490
"2020-06-11",412
"2020-06-12",461
"2020-06-13",341
"2020-06-14",302
"2020-06-15",377
"2020-06-16",359
"2020-06-17",388
"2020-06-18",406
"2020-06-19",388
"2020-06-20",315
"2020-06-21",308
"2020-06-22",355
"2020-06-23",318
"2020-06-24",320
"2020-06-25",294
"2020-06-26",327
"2020-06-27",402
"2020-06-28",313
"2020-06-29",296
"2020-06-30",334
"2020-07-01",222
"2020-07-02",349
"2020-07-03",318
"2020-07-04",228
"2020-07-05",157
"2020-07-06",352
"2020-07-07",313
"2020-07-08",321
"2020-07-09",334
"2020-07-10",348
"2020-07-11",240
"2020-07-12",214
"2020-07-13",542
"2020-07-14",426
"2020-07-15",406
"2020-07-16",482
"2020-07-17",529
"2020-07-18",384
"2020-07-19",253
"2020-07-20",795
"2020-07-21",460
"2020-07-22",382
"2020-07-23",736
"2020-07-24",437
"2020-07-25",336
"2020-07-26",307
"2020-07-27",631
"2020-07-28",377
"2020-07-29",501
"2020-07-30",446
"2020-07-31",452
"2020-08-01",254
"2020-08-02",184
"2020-08-03",267
"2020-08-04",689
"2020-08-05",358
"2020-08-06",333
"2020-08-07",442
"2020-08-08",239
"2020-08-09",223
"2020-08-10",583
"2020-08-11",362
"2020-08-12",333
"2020-08-13",494
"2020-08-14",412
"2020-08-15",210
"2020-08-16",175
"2020-08-17",204
"2020-08-18",903
"2020-08-19",355
"2020-08-20",246
"2020-08-21",705
"2020-08-22",203
"2020-08-23",263
"2020-08-24",741
"2020-08-25",371
"2020-08-26",484
"2020-08-27",475
"2020-08-28",562
"2020-08-29",327
"2020-08-30",278
"2020-08-31",1033
"2020-09-01",537
"2020-09-02",567
"2020-09-03",652
"2020-09-04",638
"2020-09-05",380
"2020-09-06",431
"2020-09-07",417
"2020-09-08",1478
"2020-09-09",506
"2020-09-10",982
"2020-09-11",815
"2020-09-12",639
"2020-09-13",576
"2020-09-14",1329
"2020-09-15",930
"2020-09-16",1004
