"r","y","idx"
2,1,300
2,2,300
2,6,300
2,7,300
2,17,300
2,18,300
2,17,300
2,20,300
2,26,300
2,39,300
2,54,300
2,46,300
2,47,300
2,50,300
2,59,300
2,65,300
2,86,300
2,118,300
2,135,300
2,181,300
2,174,300
2,182,300
2,178,300
2,203,300
2,223,300
2,229,300
2,377,300
2,383,300
2,468,300
2,497,300
2,532,300
2,469,300
2,474,300
2,598,300
2,737,300
2,983,300
2,1145,300
2,1347,300
2,1352,300
2,1348,300
2,170,300
2,220,300
2,255,300
2,313,300
2,358,300
2,386,300
2,432,300
2,348,300
2,335,300
2,282,300
2,284,300
2,339,300
2,330,300
2,365,300
2,369,300
2,319,300
2,269,300
2,227,300
2,241,300
2,222,300
2,219,300
2,261,300
2,272,300
2,293,300
2,252,300
2,219,300
2,190,300
2,204,300
2,189,300
2,192,300
2,241,300
2,223,300
2,228,300
2,194,300
2,177,300
2,136,300
2,136,300
2,140,300
2,162,300
2,174,300
2,538,300
2,534,300
2,491,300
2,435,300
2,392,300
2,416,300
2,439,300
2,540,300
2,658,300
2,656,300
2,707,300
2,596,300
2,550,300
2,604,300
2,639,300
2,727,300
2,849,300
2,1006,300
2,1080,300
2,1007,300
0.5,934,300
0.5,913,300
0.5,840,300
0.5,930,300
0.5,1189,300
0.5,1336,300
0.5,1540,300
0.5,1662,300
0.5,1514,300
0.5,1520,300
0.5,1352,300
0.5,1404,300
0.5,1562,300
0.5,1865,300
0.5,2233,300
0.5,2445,300
0.5,2489,300
0.5,2398,300
0.5,2073,300
0.5,2136,300
0.5,2154,300
0.5,2567,300
0.5,3046,300
0.5,3536,300
0.5,3794,300
0.5,3889,300
0.5,3656,300
0.5,3222,300
0.5,3118,300
0.5,3343,300
0.5,4011,300
0.5,4874,300
0.5,5717,300
0.5,5946,300
0.5,6030,300
0.5,5370,300
0.5,4980,300
0.5,4874,300
0.5,5379,300
0.5,6675,300
0.5,7807,300
0.5,9106,300
0.5,9240,300
0.5,8766,300
0.5,8194,300
0.5,7731,300
0.5,7733,300
0.5,8934,300
0.5,10606,300
0.5,12580,300
0.5,1366,300
0.5,1436,300
0.5,1290,300
0.5,1189,300
0.5,1041,300
0.5,1007,300
0.5,1166,300
0.5,1234,300
0.5,1387,300
0.5,1400,300
0.5,1185,300
0.5,1056,300
0.5,850,300
0.5,760,300
0.5,671,300
0.5,727,300
0.5,803,300
0.5,859,300
0.5,801,300
0.5,691,300
0.5,589,300
0.5,474,300
0.5,408,300
0.5,370,300
0.5,418,300
0.5,420,300
0.5,427,300
0.5,403,300
0.5,336,300
0.5,262,300
0.5,205,300
0.5,194,300
0.5,190,300
0.5,187,300
0.5,208,300
0.5,251,300
0.5,216,300
0.5,159,300
0.5,145,300
0.5,106,300
0.5,95,300
0.5,100,300
0.5,107,300
0.5,89,300
0.5,116,300
0.5,89,300
0.5,79,300
0.5,57,300
0.5,52,300
0.5,54,300
0.5,47,300
0.5,47,300
0.5,53,300
0.5,47,300
0.5,43,300
0.5,37,300
0.5,33,300
0.5,20,300
0.5,23,300
0.5,25,300
0.5,23,300
0.5,24,300
0.5,22,300
0.5,20,300
0.5,16,300
0.5,22,300
0.5,9,300
0.5,7,300
0.5,13,300
0.5,19,300
0.5,16,300
0.5,12,300
0.5,9,300
0.5,14,300
0.5,10,300
0.5,6,300
0.5,2,300
0.5,13,300
0.5,7,300
0.5,4,300
0.5,4,300
0.5,3,300
0.5,1,300
0.5,3,300
0.5,4,300
0.5,2,300
0.5,4,300
0.5,3,300
0.5,0,300
0.5,3,300
0.5,3,300
0.5,0,300
0.5,2,300
0.5,1,300
0.5,2,300
0.5,7,300
0.5,3,300
0.5,3,300
0.5,3,300
0.5,1,300
0.5,1,300
0.5,4,300
0.5,1,300
0.5,2,300
0.5,2,300
0.5,3,300
0.5,0,300
0.5,2,300
0.5,1,300
0.5,1,300
0.5,1,300
0.5,1,300
0.5,4,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,2,300
0.5,2,300
0.5,0,300
0.5,2,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
0.5,0,300
