"idx","r","y","iwt"
1,1.5,2,2
2,1.5,1,0.1804080208621
3,1.5,3,0.438278224883181
4,1.5,6,0.800516102462835
5,1.5,1,1.54490796755878
6,1.5,3,2.05746335941649
7,1.5,3,2.26271548028436
8,1.5,5,2.45236852034339
9,1.5,9,2.78732927268838
10,1.5,9,3.61393201484475
11,1.49999999993,6,4.75188309875897
12,1.49999999923,11,5.55758535590493
13,1.49999999538,12,6.37350050840141
14,1.49999997998,12,7.48012889072511
15,1.49999992993,19,8.58699267727155
16,1.49999978979,13,10.1540085647473
17,1.49999943944,21,11.5587772101409
18,1.49999863864,17,13.0203222031756
19,1.49999693694,22,14.43257724538
20,1.49999353354,24,15.8006204618516
21,1.49998706778,19,17.4440797527755
22,1.49997531758,19,18.6126298451463
23,1.49995478098,24,19.1024873199035
24,1.49992011558,30,19.7178489717558
25,1.49986341278,25,21.1484065141701
26,1.4997732889,33,22.5940462492187
27,1.49963378415,41,24.2199847112361
28,1.49942307365,39,26.8990716033798
29,1.4991120129,35,29.8873238204913
30,1.4986625639,49,32.03663174467
31,1.498026175,50,34.5489571960894
32,1.497142215,49,37.8006773938044
33,1.4959365875,54,40.7953906050215
34,1.4943206725,65,43.6183262959796
35,1.49219075625,68,47.2563416386119
36,1.48942811483,88,51.6123445815416
37,1.48589990938,72,57.5560147502581
38,1.48146102878,101,63.0125852583693
39,1.47595697638,107,69.0272763397595
40,1.46922783858,129,76.7311386203744
41,1.46111330054,127,86.2358876667008
42,1.45145859394,136,96.17274096306
43,1.44012117939,155,105.412759437288
44,1.42697788769,174,115.261307601509
45,1.41193217554,186,126.750531912486
46,1.39492109838,195,139.374703359488
47,1.37592157168,199,152.049153442286
48,1.35495548808,245,163.722208489099
49,1.33209328718,214,177.627511357383
50,1.30745564338,255,190.37714423154
51,1.28121303615,264,202.423082636453
52,1.25358308765,282,215.806231412545
53,1.2248256859,300,229.814557625747
54,1.1952360489,276,244.670857203441
55,1.1651360174,295,256.537242105202
56,1.1348639826,314,265.629704971051
57,1.1047639511,332,275.235565238714
58,1.0751743141,309,286.394472914006
59,1.04641691235,322,295.48547543846
60,1.01878696385,309,302.094813811358
61,0.992544356619999,311,306.435284921623
62,0.967906712819999,309,308.609527400198
63,0.945044511919999,291,309.599066965313
64,0.924078428319999,284,308.246679617415
65,0.905078901619999,260,304.44763749788
66,0.888067824459999,287,297.719486924045
67,0.873022112309999,230,291.840186813653
68,0.859878820609999,229,283.786335948603
69,0.848541406059999,234,272.406186275488
70,0.838886699459999,243,261.950618994114
71,0.830772161419999,243,254.58880450508
72,0.824043023619999,194,250.086387358086
73,0.818538971219999,169,242.912942962263
74,0.814100090619999,195,230.446270027382
75,0.810571885169999,165,218.69234551209
76,0.807809243749999,181,207.994193584959
77,0.805679327499999,149,198.84554730252
78,0.804063412499999,129,189.830605971959
79,0.802857784999999,151,178.388796458121
80,0.801973824999999,140,168.517797494713
81,0.801337436099999,130,161.182143292248
82,0.800887987099999,125,154.302087180243
83,0.800576926349999,114,147.557632438618
84,0.800366215849999,104,140.591911797334
85,0.800226711099999,115,133.010416438049
86,0.800136587219999,99,126.722246092759
87,0.800079884419999,105,121.150877210519
88,0.800045219019999,89,116.213151997384
89,0.800024682419999,102,111.217401107332
90,0.800012932219999,85,107.112562887753
91,0.800006466459999,85,103.277491736516
92,0.800003063059999,77,99.0369609636675
93,0.800001361359999,85,94.582148857814
94,0.800000560559999,79,90.9429118908088
95,0.800000210209999,75,88.1428169098721
96,0.800000070069999,55,85.3364297498784
97,0.800000020019999,60,80.8996707616908
98,0.800000004619999,65,75.7087600154898
99,0.800000000769999,52,71.8181500026023
100,0.800000000069999,58,68.158649252455
101,0.799999999999999,50,64.8519664968904
102,0.799999999999999,37,61.8530652258773
103,0.799999999999999,38,57.7421096713597
104,0.799999999999999,48,53.1087231893412
105,0.799999999999999,33,49.9671315177587
106,0.799999999999999,48,47.1537967659552
107,0.799999999999999,36,45.280624675217
108,0.799999999999999,37,43.9300836281915
109,0.799999999999999,28,42.295730700357
110,0.799999999999999,25,40.0627746844061
111,0.800000000049999,37,37.1031679221174
112,0.800000000549999,24,35.2230478406113
113,0.800000003299999,31,33.6338425758373
114,0.800000014299999,20,32.1891412913534
115,0.800000050049999,20,30.4813206541981
116,0.800000150149999,30,28.230350175478
117,0.800000400399999,14,27.0300971625028
118,0.800000972399999,19,25.6050793669982
119,0.800002187899999,16,23.73518807857
120,0.800004618899999,19,22.0435885605994
121,0.800009237299999,14,20.756238876977
122,0.800017630299999,16,19.5597317383473
123,0.800032299299999,16,18.4392221565491
124,0.800057060299999,20,17.6493739249714
125,0.800097562299999,16,17.4642680675313
126,0.800161936499999,21,17.4279326414511
127,0.800261582749999,10,17.6445157878357
128,0.800412090249999,17,17.2514379232295
129,0.800634276499999,15,16.6156067318453
130,0.800955311499999,15,16.260800531405
131,0.801409874999999,15,15.9350798544941
132,0.802041274999999,13,15.6704866071387
133,0.802902437499999,15,15.2889366931286
134,0.804056662499999,15,14.9746114652195
135,0.805578031249998,13,14.8629082812989
136,0.807551346549999,15,14.6626312379552
137,0.810071493299999,13,14.5119560066159
138,0.813242122299999,4,14.3516757202355
139,0.817173588299999,8,13.2716119079549
140,0.821980115299999,14,11.7996811368387
141,0.827776213899999,9,11.211152633064
142,0.834672432899999,11,10.9753891550125
143,0.842770586149999,8,10.7632386006235
144,0.852158651649999,6,10.451235697091
145,0.862905588899999,7,9.77655251585271
146,0.875056358299999,7,9.03387568742192
147,0.888627448799999,7,8.44577933701596
148,0.903603222799999,9,8.00559793885741
149,0.919933366299999,5,7.86838748882515
150,0.937531683299999,7,7.63228866694475
151,0.956276402749999,4,7.31831479784213
152,0.976012080249999,6,6.88291733591514
153,0.996553081499999,4,6.4568237347002
154,1.0176885365,7,6.04894004536107
155,1.039188559,8,5.85228700356386
156,1.060811441,7,6.04783317328581
157,1.0823114635,6,6.33179737994238
158,1.1034469185,5,6.44950783775202
159,1.12398791975,8,6.33301512560907
160,1.14372359725,3,6.35439698505248
161,1.1624683167,7,6.16601204731451
162,1.1800666337,5,5.96736910482754
163,1.1963967772,7,5.87375440493836
164,1.2113725512,8,5.88445048647979
165,1.2249436417,7,6.15129664580908
166,1.2370944111,8,6.44547263231253
167,1.24784134835,8,6.72974882578676
168,1.25722941385,8,7.03098609391796
169,1.2653275671,6,7.29182600466363
170,1.2722237861,9,7.31701379222932
171,1.2780198847,6,7.39299429110973
172,1.2828264117,7,7.39912752877041
173,1.2867578777,13,7.27497753515703
174,1.2899285067,9,7.727957861956
175,1.29244865345,10,8.34999163129493
176,1.29442196875,14,8.76966215194236
177,1.2959433375,20,9.47534494502798
178,1.2970975625,14,10.976673796339
179,1.297958725,19,12.3847321673414
180,1.298590125,16,13.603820678127
181,1.2990446885,18,14.6171125941381
182,1.2993657235,16,15.3843859095679
183,1.29958790975,24,15.8911864279054
184,1.29973841725,30,16.8161063156774
185,1.2998380635,23,18.8097863167366
186,1.2999024377,25,20.6442399927648
187,1.2999429397,30,21.864220146424
188,1.2999677007,31,23.2495213628877
189,1.2999823697,48,24.894445634171
190,1.2999907627,40,27.9782980923247
191,1.2999953811,37,31.4908742113452
192,1.2999978121,41,33.8298335920909
193,1.2999990276,42,35.5419039126219
194,1.2999995996,59,37.1069555803741
195,1.29999984985,75,39.9737060373061
196,1.29999994995,57,45.4172038553719
197,1.2999999857,68,50.3760355380524
198,1.2999999967,69,54.2180416175938
199,1.29999999945,59,57.855337588292
200,1.29999999995,78,60.0167795951328
201,1.3,85,62.3683899637756
202,1.3,95,66.2849836507391
203,1.3,99,71.5252817315469
204,1.3,93,77.448207493653
205,1.3,95,82.4225140866262
206,1.3,112,86.0704537390318
207,1.3,111,90.3283794972825
208,1.3,104,95.1597384167728
209,1.3,143,98.7580275094396
210,1.3,135,104.411272832068
211,1.29999999996,147,111.743587739428
212,1.29999999956,157,119.123957839949
213,1.29999999736,183,127.056800861415
214,1.29999998856,188,136.956184839967
215,1.29999995996,193,148.177401719198
216,1.29999987988,188,158.921736635034
217,1.29999967968,238,167.699269234011
218,1.29999922208,222,178.581464550205
219,1.29999824968,271,190.340602370194
220,1.29999630488,259,203.987992407852
221,1.29999261016,296,218.300811653039
222,1.29998589576,309,233.204723880965
223,1.29997416056,373,249.582065621528
224,1.29995435176,373,270.57898261502
225,1.29992195016,376,294.159946243784
226,1.2998704508,425,315.311379038016
